,Air density over the oceans - media,Air density over the oceans - dsv,Coefficient of drag with waves - media,Coefficient of drag with waves - dsv,Free convective velocity over the oceans - media,Free convective velocity over the oceans - dsv,Instantaneous surface sensible heat flux - media,Instantaneous surface sensible heat flux - dsv,Maximum individual wave height - media,Maximum individual wave height - dsv,Mean direction of total swell - media,Mean direction of total swell - dsv,Mean direction of wind waves - media,Mean direction of wind waves - dsv,Mean period of total swell - media,Mean period of total swell - dsv,Mean period of wind waves - media,Mean period of wind waves - dsv,Mean square slope of waves - media,Mean square slope of waves - dsv,Mean wave direction - media,Mean wave direction - dsv,Mean wave direction of first swell partition - media,Mean wave direction of first swell partition - dsv,Mean wave direction of second swell partition - media,Mean wave direction of second swell partition - dsv,Mean wave direction of third swell partition - media,Mean wave direction of third swell partition - dsv,Mean wave period - media,Mean wave period - dsv,Mean wave period based on first moment - media,Mean wave period based on first moment - dsv,Mean wave period based on first moment for swell - media,Mean wave period based on first moment for swell - dsv,Mean wave period based on first moment for wind waves - media,Mean wave period based on first moment for wind waves - dsv,Mean wave period based on second moment for swell - media,Mean wave period based on second moment for swell - dsv,Mean wave period based on second moment for wind waves - media,Mean wave period based on second moment for wind waves - dsv,Mean wave period of first swell partition - media,Mean wave period of first swell partition - dsv,Mean wave period of second swell partition - media,Mean wave period of second swell partition - dsv,Mean wave period of third swell partition - media,Mean wave period of third swell partition - dsv,Mean zero-crossing wave period - media,Mean zero-crossing wave period - dsv,Model bathymetry - media,Model bathymetry - dsv,Normalized energy flux into ocean - media,Normalized energy flux into ocean - dsv,Normalized energy flux into waves - media,Normalized energy flux into waves - dsv,Normalized stress into ocean - media,Normalized stress into ocean - dsv,10 metre wind direction - media,10 metre wind direction - dsv,10 metre wind speed - media,10 metre wind speed - dsv,Peak wave period - media,Peak wave period - dsv,Period corresponding to maximum individual wave height - media,Period corresponding to maximum individual wave height - dsv,Significant height of combined wind waves and swell - media,Significant height of combined wind waves and swell - dsv,Significant height of total swell - media,Significant height of total swell - dsv,Significant height of wind waves - media,Significant height of wind waves - dsv,Significant wave height of first swell partition - media,Significant wave height of first swell partition - dsv,Significant wave height of second swell partition - media,Significant wave height of second swell partition - dsv,Significant wave height of third swell partition - media,Significant wave height of third swell partition - dsv,Wave spectral directional width - media,Wave spectral directional width - dsv,Wave spectral directional width for swell - media,Wave spectral directional width for swell - dsv,Wave spectral directional width for wind waves - media,Wave spectral directional width for wind waves - dsv,Wave spectral kurtosis - media,Wave spectral kurtosis - dsv,Wave spectral peakedness - media,Wave spectral peakedness - dsv,Wave Spectral Skewness - media,Wave Spectral Skewness - dsv,Friction velocity - media,Friction velocity - dsv,Instantaneous 10 metre wind gust - media,Instantaneous 10 metre wind gust - dsv,Surface latent heat flux - media,Surface latent heat flux - dsv
1940-01-01,1.246275266011556,0.0016128226455307,0.0008793291635811,2.9953691404004805e-05,0.5634867350260416,0.0635261847051949,-10.999420166015623,10.540862989825506,2.4237648646036782,0.0125605283321264,326.9292805989583,2.0216553579393106,66.36796569824219,2.500520779091161,9.651805559794107,0.0773224190047543,2.917479515075684,0.0187387538667673,0.003263130551204,0.0002685582547239,327.6549886067708,2.533020321431457,231.4328816731771,5.295892905103576,172.77415974934897,11.48094891733844,189.0991007486979,3.691692605368806,9.420116106669107,0.1412596802971835,7.600064277648926,0.1587635991136465,8.022183418273926,0.0850291946239359,2.339680353800456,0.0487141954273512,6.840879122416179,0.076605019040484,1.3072509765625,0.1373608723376832,9.997658411661783,0.0213371395053566,7.598483403523763,0.2624466170672266,6.096944491068522,0.3336344789114691,6.294043858846028,0.1522468954569118,147.33333333333334,2.0548046676563256,-3.128692626953125,0.2348790153578406,1.0574874877929688,0.2565479089798309,1.00466783841451,0.0080269288148915,131.26313273111978,3.101974635016335,4.095784505208333,0.2940924449794372,11.509140332539875,0.0986252247794775,8.036541938781738,0.1521908245206589,1.292843182881673,0.0085625360987784,1.2545582453409831,0.0214081964590137,0.198317289352417,0.042287806192226,1.1212778091430664,0.0201686484871078,0.4606712659200032,0.0055036280302768,0.0617687255144119,0.0053425086022082,0.4054225484530131,0.0068084679559917,0.2858903805414836,0.0042816849697975,0.6865212917327881,0.0418096611929548,0.0037497282028198,0.0002830083769377,5.203420639038086,0.076475922296372,0.0127090141177177,0.0003857240277755,0.1740914980570475,0.0234838234058854,6.884583791097005,0.4498404486053331,-4030449.0,1319545.6281089082
1940-02-01,1.2319405873616536,0.0004597233399109,0.0008526752547671,1.7415598229130257e-05,0.3318379720052083,0.0056468973916632,1.0928211212158203,5.253690639075484,2.8960968653361,0.071334011823333,303.8974202473958,1.6366063546995824,49.80849202473959,5.513936582541072,11.12666098276774,0.0955552669515859,3.115424156188965,0.0411006711829236,0.0029647064705689,0.0001505523920026,303.6866048177083,1.7504223510678945,286.8617350260417,2.147109753864224,122.4632059733073,3.24743446749272,164.5430704752604,7.406800297476731,10.923617362976074,0.1432655519450686,8.904474894205729,0.1767911182964162,9.336359659830729,0.1155023995939662,2.4106343587239585,0.0314182415069165,7.936228434244792,0.1178371366132566,1.0931396484375,0.0748106792231568,11.626276969909668,0.0532084688181435,6.258063634236653,0.0961648266383217,7.934112548828125,0.6024022701877543,7.353220621744792,0.1758175376830013,147.33333333333334,2.0548046676563256,-3.211029052734375,0.2515263059495675,-0.156627337137858,0.3300277149799471,0.9992664853731792,0.0048808345497228,169.86439005533853,7.544241618428073,3.8019205729166665,0.1576791046349707,13.304974555969238,0.077642092728709,9.387734731038412,0.1685608278376335,1.5645389556884766,0.041728173000156,1.534462292989095,0.0523363880022231,0.1850622097651163,0.0253354638985619,1.46167786916097,0.0517320948911551,0.3038344780604045,0.0170265174943932,0.0537234755853811,0.0024540995068096,0.3599090178807576,0.0072394480967068,0.2344775597254435,0.0027707018068116,0.8112089236577352,0.0301541504323941,0.0017071763674418,5.0351435021014734e-05,5.910783131917317,0.0470970345810568,0.0092166016499201,0.0001137562865373,0.1613950729370117,0.0183277897312616,6.458565394083659,0.5119406995682046,-3015253.6666666665,296022.8348999824
1940-03-01,1.2291065851847331,0.0005072384018124,0.0008602142333984,1.6010255835727804e-05,0.3869222005208333,0.0411049032648,-6.176626841227214,3.1808663874101257,2.077795664469401,0.0321489935438403,326.0975341796875,3.09051282657911,49.18365987141927,3.892759691593235,8.366933186848959,0.0572964059430059,3.0122880935668945,0.0427158891770573,0.0028447554601977,0.0001731566076659,326.7855631510417,3.988020867343607,240.27327473958331,2.245694786426847,174.73556518554688,3.0733293331669103,204.158447265625,5.751086146283949,8.129954020182291,0.0886290623795383,6.603812217712402,0.0926527878455943,7.002169291178386,0.0588550533801772,2.3666721979777017,0.0350946428187832,6.097145398457845,0.0539951396293242,1.1788736979166667,0.0776405786691695,8.502822875976562,0.0472111832425412,7.321315447489421,0.3239196459861607,9.037812868754068,0.4132529608201258,5.591895421346028,0.0851403652233948,147.33333333333334,2.0548046676563256,-2.8829854329427085,0.1692321733195664,0.7766234079996744,0.1317042065474425,0.9993342161178588,0.003981096728225,112.38150533040364,17.692063987751723,3.896728515625,0.1492428265865285,10.252061208089192,0.1661443871701241,6.994839350382487,0.0911056429945956,1.1114168167114258,0.0175036512834599,1.0693511962890625,0.0197317009707657,0.1793588002522786,0.0276019905240219,1.0101073582967122,0.0193061787994862,0.244343896706899,0.0064338472933112,0.0458226340512434,0.0007488043336289,0.4135555227597554,0.0057883505632996,0.2776081959406535,0.0038589420890908,0.7534858187039694,0.0293287562929728,0.0034103194872538,0.0002085988022299,4.960426012674968,0.0665730892508043,0.012760820488135,0.0005275605489113,0.165784736474355,0.018140809029244,6.687870979309082,0.4473510987430671,-4009450.0,598333.3528661092
1940-04-01,1.2301422754923503,0.0011786913869704,0.0008353298374762,1.268221790696085e-05,0.4529927571614583,0.0512651370955855,-15.709528605143229,7.170912292121674,2.1848910649617515,0.033865706604393,317.82470703125,1.5758156576767368,17.055496215820312,1.1359242462546375,8.50143559773763,0.0330088798957304,2.9404996236165366,0.0121998405470442,0.0026514122728258,7.14852961409652e-05,317.3264973958333,1.88195685663701,285.3314615885417,2.8113447666021663,168.34872436523438,5.220507906274941,193.05997212727863,6.301003910657258,8.310516675313314,0.0591772344043739,6.8684695561726885,0.0800449540407907,7.186829884847005,0.0451523035444934,2.2952295939127603,0.0221886835394504,6.290543556213379,0.0517773861131239,1.08740234375,0.0596030723669547,8.565414110819498,0.0077955273534036,7.590227127075195,0.0490684191459942,11.498343467712402,0.0840477519469765,5.873876889546712,0.0885931874892198,147.33333333333334,2.0548046676563256,-3.026824951171875,0.2172235180013154,0.4357144037882487,0.2313412532096541,1.0049375693003335,0.0045268498103634,325.3804524739583,10.899469472746205,3.6481119791666665,0.1329516012746268,10.284769694010416,0.0761249973997976,7.22085444132487,0.0710143860822077,1.1712125142415364,0.0197563760232826,1.1445808410644531,0.0239746736006384,0.1441751917203267,0.0143664305939717,1.08544127146403,0.0225235623445056,0.2307326396306356,0.0233241670136211,0.0343655881782372,0.0011872693278374,0.4031847318013509,0.0036845122430865,0.2810568610827128,0.0012583542177854,0.7641159296035767,0.0184708928394312,0.0039211509283632,0.0001387347584735,4.725350697835286,0.0259172707173826,0.01337730884552,0.0002487694993708,0.1543218294779459,0.0177077497343575,6.218985557556152,0.458009893553106,-4386586.666666667,822307.6743852565
1940-05-01,1.2158463795979817,0.0016266939479084,0.0008774995803833,2.4296808269421847e-05,0.4349568684895833,0.1083968060268549,-20.22821044921875,9.619796990787428,1.7898305257161458,0.0321774091818313,323.30029296875,1.9977506068023525,27.948699951171875,0.2878988401982543,7.565227190653483,0.0540977039024619,3.113651593526205,0.0119655199686282,0.0031226917635649,0.0002134040294472,324.0904947916667,2.518489031317797,256.3445332845052,2.696616783859556,140.91523234049478,2.3025222290895235,205.60635884602863,8.584344600621659,7.236125628153483,0.1077864193046445,5.750009536743164,0.095559979775002,6.242197036743164,0.0625251083802193,2.4519173304239907,0.0281643721419014,5.407098770141602,0.0628499723035315,1.2506510416666667,0.0821339000303051,8.451417287190756,0.0859119107459101,7.382129033406575,0.2870585309347682,9.791257540384928,0.6875039688149924,4.840569496154785,0.0778977586036087,147.33333333333334,2.0548046676563256,-2.848470052083333,0.1336799170188461,1.3252239227294922,0.1856096930994722,0.9947973688443502,0.0043188318592868,22.854766845703125,1.995855487655398,4.071207682291667,0.2196149830023165,9.293727238972982,0.0978037081156975,6.136744499206543,0.0973671257155359,0.9467660188674928,0.0172394516431805,0.8845928510030111,0.0192053196750241,0.2176768183708191,0.0293898062219296,0.7986781597137451,0.0255841436558066,0.3155716856320699,0.0143571141944206,0.0363512337207794,0.0018899146261351,0.4312366843223572,0.0074864643030464,0.258537232875824,0.0007612081593361,0.7605929573376974,0.0233180969381424,0.0039700071016947,0.0003979655485436,5.045350392659505,0.036842819382951,0.0133129755655924,0.0006019270826146,0.1559291283289591,0.0207769925310049,6.047168413798015,0.4294302909886268,-4935743.333333333,1535665.5687775542
1940-06-01,1.20620854695638,0.0014755116650262,0.0008645926912625,1.855186522920449e-05,0.4734598795572917,0.1190183077643895,-21.509780883789062,10.696161423609489,1.6732012430826824,0.0504232979188755,325.69549560546875,1.6604212411062038,9.093631744384766,2.8743701189528754,7.205681165059407,0.026036834268437,2.974574406941732,0.022820148085941,0.0026909514175107,0.0001817745665457,326.2666422526042,2.164502750545274,281.989013671875,2.258510741225104,197.69116719563803,1.6043399865785064,215.65828450520837,1.6138733317941618,6.935091018676758,0.0578237161839354,5.639776547749837,0.0582217238690416,6.08378791809082,0.0554154404048003,2.350555102030436,0.0318526855184276,5.353413263956706,0.0669753676029711,1.2135009765625,0.0871801411065149,7.42881711324056,0.1211103749228528,7.436578432718913,0.4107373838596768,11.235650380452476,0.3554768730232213,4.806212743123372,0.0565416487073202,147.33333333333334,2.0548046676563256,-2.394109090169271,0.1048833984762753,1.431117057800293,0.1285623915589474,0.991982618967692,0.0031871779800939,329.131103515625,9.137862385227422,3.947898228963216,0.1820206944248,8.825973192850748,0.1363075005136631,5.99658743540446,0.0546178222487437,0.8870929876963297,0.0267947966199346,0.8475442330042521,0.0214049479822599,0.1745980381965637,0.026944239160623,0.7823972304662069,0.0229828680279043,0.231342613697052,0.0038195363187818,0.0240065244336922,0.001489554481627,0.399433175722758,0.0051923895224343,0.2650658289591471,0.0053531510794432,0.7297172745068868,0.0284940534951719,0.003927727540334,0.00051313310934,4.732593854268392,0.033548956968465,0.0138048281272252,0.0008800749703506,0.1497317353884379,0.0214782463808133,5.79189936319987,0.4750616953122246,-5433065.333333333,1621184.846358435
1940-07-01,1.2024415334065754,0.0016560570903911,0.000849635573104,2.2822443878075107e-05,0.5909423828125,0.0724804023516909,-23.944712320963543,9.503207567313371,1.800648053487142,0.0458140939733312,321.5789794921875,1.1132378463761312,13.316644668579102,1.4413586120176685,6.762248992919922,0.0190085074802946,3.0422887802124023,0.0454817450306976,0.0027818116359412,0.0002004671655782,321.5927734375,1.2820278380769143,286.9145151774089,0.3737137953943573,147.91016642252603,7.452869310487162,239.92883809407556,4.300672248908852,6.561629295349121,0.0465083629890259,5.627913157145183,0.0568455755299358,5.965560595194499,0.0368883118246001,2.376392046610514,0.0566736176378895,5.387146949768066,0.0460984222285543,1.1463216145833333,0.1033216053706146,7.086254755655925,0.2606069251282044,6.48629887898763,0.3845747954804377,16.625022888183594,0.1150155441172648,4.951070149739583,0.0605022580502177,147.33333333333334,2.0548046676563256,-3.2232157389322915,0.1703485075579919,0.9439121882120768,0.1766674543759041,1.0055376291275024,0.0054353532972555,351.49365234375,5.670518949465737,3.8102213541666665,0.232537106568888,7.835978507995605,0.0090562680620075,5.904856999715169,0.0491853016353768,0.9586784839630128,0.0244337892308535,0.915604054927826,0.0237187360479542,0.174188752969106,0.035378261387364,0.8938851753870646,0.024049521106958,0.1126659313837687,0.0025890627591732,0.0096308787663777,0.0010217187117097,0.3897749582926432,0.003400356084882,0.2799494663874308,0.0011511596515652,0.7671081026395162,0.0238643341592595,0.0054949522018432,0.0002482388171775,4.779880205790202,0.0230186620180233,0.0168336989978949,0.0004205882740704,0.14920707543691,0.0188778228519236,5.780542691548665,0.4088696905661966,-6733858.333333333,1237674.4218146475
1940-08-01,1.2008647918701172,0.0014743628095756,0.0008714449747155,3.998078524707273e-05,0.621673583984375,0.1092573736839133,-31.53307596842448,13.67872868960069,1.4633073806762695,0.0590086762681439,351.0736897786458,2.2866867055654394,37.35864766438802,3.1094491546154743,5.963456471761067,0.0577598859317154,2.850500742594401,0.0525205864575221,0.0027960559818893,0.0003280531064535,354.1134440104167,4.070716517323421,192.25789388020837,3.69790933097864,249.9872792561849,4.051388717777488,219.1319274902344,8.346127060742756,5.700191497802734,0.0519214657952875,4.741025288899739,0.0523708039522145,5.142149289449056,0.0753962047490808,2.2932421366373696,0.0328923560558102,4.640785853068034,0.0842199840309766,1.29931640625,0.2224574623807739,6.227950096130371,0.4607855767354895,8.520243962605795,0.1206692601130706,12.237476348876951,0.193132775077149,4.151243527730306,0.0485971886619593,147.33333333333334,2.0548046676563256,-3.13427734375,0.1855588674852507,1.5627428690592449,0.2992313188702405,1.0004915396372478,0.007173893168138,37.29928588867188,6.877520844661251,4.034098307291667,0.4139646178537872,6.933610916137695,0.0708352892736518,5.0407670338948565,0.0488496796481247,0.7733748555183411,0.030102317955688,0.7277896205584208,0.0132353281705982,0.176878015200297,0.0493189577086819,0.6640538771947225,0.0087613741048724,0.2222268978754679,0.013341484111702,0.0186075170834859,0.0007983650931987,0.4457518061002095,0.0066967408577949,0.3243814508120219,0.0050181597836997,0.6688044269879659,0.0910475712122856,0.0070737600326538,0.0008957312085839,4.386709531148274,0.0380510431289055,0.019836351275444,0.0011831989387196,0.1443289319674174,0.0213966108562504,5.612861315409343,0.5430358521550843,-5810773.333333333,1077020.7838506286
1940-09-01,1.2044722239176433,0.0011757246558649,0.0008245202867935,1.9502188803773367e-05,0.5576883951822916,0.0451024774164581,-19.82904561360677,5.306917781968628,1.9648338953653968,0.0403388156475221,331.09645589192706,1.13544653057056,27.711720784505207,1.459207327388934,7.5324357350667315,0.0423100391187581,3.1030505498250327,0.0279805346713373,0.0025871725132068,0.0001544836285889,331.6388346354167,1.6907801517942505,258.86183675130206,4.7356740402451045,156.3645782470703,8.350720792866726,237.01040649414065,1.6566307541903134,7.400192896525065,0.049604958698946,6.234693845113118,0.0692264845147991,6.485833168029785,0.0694032440885778,2.375676155090332,0.0414151308144623,5.773983637491862,0.0768225718345015,0.9914957682291666,0.0874414528144207,7.839548746744792,0.0370672332445931,7.689857482910156,0.2175160071084164,15.5916379292806,0.7914389232515691,5.423112869262695,0.0741923101076842,147.33333333333334,2.0548046676563256,-2.805089314778646,0.1720937242672816,0.6417811711629232,0.2009985052235589,1.0076033075650532,0.0055436335433009,24.575770060221355,1.5505970232372506,3.545003255208333,0.203531526842044,8.992656389872232,0.0567857775136103,6.547365824381511,0.0613310967742475,1.0497026443481443,0.02178467768184,1.0241146286328633,0.0195953799794514,0.1467873454093933,0.0257318505085601,0.98824010292689,0.0216820800499688,0.1523047486941019,0.0049291531003957,0.0130859774847825,0.0007031563174961,0.3853661020596822,0.003565060405588,0.2646833856900533,0.0042116714872718,0.8430583477020264,0.0228620863588726,0.0046188235282897,0.0002873626076624,5.224697430928548,0.0254190400062994,0.0143344290554523,0.0005094733734535,0.1319199005762736,0.0164735297312645,5.276059468587239,0.3504947411212393,-4852769.666666667,565573.3125371301
1940-10-01,1.2104873657226562,0.000647465500161,0.0008130886902411,1.6171842130267946e-05,0.5522867838541666,0.0276626242340032,-9.522653579711914,1.7701737513388185,2.2679198582967124,0.0429892442938059,322.15582275390625,1.6043738029147592,37.66205342610677,5.847120286662605,8.7177095413208,0.0653570730649211,3.031821886698405,0.0166190061990297,0.0024830850306898,0.0001413085551545,322.619384765625,1.8098040294462825,266.3756510416667,6.041719423261041,135.77977498372397,5.626831058071353,220.2377014160156,3.719297053599869,8.589022954305014,0.0990816652816877,7.138722101847331,0.1131658002317404,7.398976008097331,0.0597492580678108,2.3109985987345376,0.014510230354159,6.460782686869304,0.0600835098920071,0.9237060546875,0.0906755394158709,9.05770492553711,0.1188928915599786,6.405824343363444,0.1632590019648158,9.16499106089274,0.1805674068115343,6.10185432434082,0.1144577407340165,147.33333333333334,2.0548046676563256,-3.249079386393229,0.2332115400433621,0.0678167343139648,0.294013504449101,1.0079463720321655,0.0028939920331577,90.51326592763265,57.99020419945612,3.41015625,0.1707347849242856,10.57549794514974,0.051902839717545,7.491391817728679,0.1066577126052835,1.21926752726237,0.0240056441522633,1.2027219136555989,0.0249843038187238,0.1210774381955464,0.018678907438305,1.111294110616048,0.0270186734450247,0.3184135754903157,0.005996805480842,0.0629929962257544,0.0038010688630226,0.4005257288614909,0.0066937385686418,0.2449657718340555,0.004720161699798,0.8445919950803121,0.0361014249870056,0.0030689634537945,3.596531072929624e-05,5.706655820210774,0.0691644640652269,0.0116377162436644,0.0002624220302085,0.1331426898638407,0.0158012561124451,5.419670422871907,0.3503611242152049,-4654841.666666667,531648.4268620466
